Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
FLContextSerializationTest,SUnit tests for fuel serialization of methods contexts,SUnit tests for fuel serialization of methods contexts,,for fuel serialization of methods contexts,,,,,,,,,,,,,,,,,,,,
RBRenameVariableTransformation,"Renames a variable in a class and all its direct accesses. It is necessary to indicate whether the variable is an instance or class variable. It is not implemented as a composite transformation because the rename is made internally in the model.
  
  Usage:
  transformation := (RBRenameVariableTransformation
  rename: 'classBlock' to: 'asdf'
  in: #RBBasicLintRuleTest
  classVariable: false)
  transform.
  (ChangesBrowser changes: transformation model changes changes) open
  
  Preconditions:
  overrides from RBAddVariableRefactoring and RBRemoveVariableRefactoring",,Renames a variable in a class and all its direct accesses. It is necessary to indicate whether the variable is an instance or class variable. It is not implemented as a composite transformation because the rename is made internally in the model.,,,,,,,,"Usage:
  transformation := (RBRenameVariableTransformation
  rename: 'classBlock' to: 'asdf'
  in: #RBBasicLintRuleTest
  classVariable: false)
  transform.
  (ChangesBrowser changes: transformation model changes changes) open",,,,,,,,,,"Preconditions:
 overrides from RBAddVariableRefactoring and RBRemoveVariableRefactoring",,,
WatchpointWindow,I am a minimal user interface that shows the last entries in the watchpoint history.,I am a minimal user interface that shows the last entries in the watchpoint history.,I am a minimal user interface that shows the last entries in the watchpoint history.,,,,,,,,,,,,,,,,,,,,,
RBSearchingLiteralRule,Checks for repeated literal equalitity tests that should rather be implemented as a search in a literal collection.,,Checks for repeated literal equalitity tests,,,,,,,,,,,,,,,,,,,,,
PackageNodeExample,Example for a pakage node,Example for a pakage node,,,,,,,,,,,,,,,,,,,,,,
ExampleForTest12,An example class at level 2 (indirectly below Object) used for testing class hierarchy,An example class at level 2 (indirectly below Object) used for testing class hierarchy,An example class at level 2 (indirectly below Object) used for testing class hierarchy,,,,,,,An example class at level 2 (indirectly below Object) used for testing class hierarchy,,,,,,,,,,,,,,
AthensCairoSurface,"i am a concrete implementation of Athens surface which using cairo graphics library for rendering.
  
  Cairo library, by itself can have multiple surface types.
  This class uses image surface (a bitmap located in system memory) and maps to cairo_image_surface_t* C type.
  
  **NOTE**
  As a workaround of bitblt bug, the actual Cairo surfaces, created internally is with 1 extra pixel higher than requested. This is, however completely hidden from users.",i am a concrete implementation of Athens surface which using cairo graphics library for rendering.,,"i am a concrete implementation of Athens surface which using cairo graphics library for rendering. Cairo library, by itself can have multiple surface types.
 
  This class uses image surface (a bitmap located in system memory) and maps to cairo_image_surface_t* C type.",,"Cairo library, by itself can have multiple surface types.",,,,,,,,,"**NOTE**
 As a workaround of bitblt bug, the actual Cairo surfaces, created internally is with 1 extra pixel higher than requested. This is, however completely hidden from users.",,,,,,,i am a concrete implementation of Athens surface which using cairo graphics library for rendering.,,
GLMPresentation,"A GLMPresentation is the abstract class for the hierarchy of presentations. A presentation specifies how the pane (held in the pane instance variable) is going to be displayed. It typically reads at least the #entity port of a pane and populates at least the #selection port.
  
  updateActions holds a collection of GLMUpdateAction that are used to update the presentation via announcements.
  
  rawSelectionTransmissions holds a collection of transmission whose origins are this presentation's #rawSelection port. Destinations of this transmissions are on the pane. This collection always contains at least one transmission to the pane's #selection port. To transform the values travelling through this transmission use #send:. To add new transmissions, use #send:as:.
  
  Because Glamour has a prototype-based design it relies on copying the presentations before installing them in panes (via transmissions). The parentPrototype instance variable keeps track of the presentation from which the current one was copied.
  
  It raises:
  - GLMContextChanged to let the world know that something has changed in the containing pane. This is typically used by the renderer to update the rendering.
  - GLMPresentationUpdated to let the world know that the presentations wants to be updated because of reasons other than the pane context changed.",A GLMPresentation is the abstract class for the hierarchy of presentations.,A presentation specifies how the pane (held in the pane instance variable) is going to be displayed. It typically reads at least the #entity port of a pane and populates at least the #selection port.,"It raises:
  - GLMContextChanged to let the world know that something has changed in the containing pane. This is typically used by the renderer to update the rendering.
  - GLMPresentationUpdated to let the world know that the presentations wants to be updated because of reasons other than the pane context changed.","To transform the values travelling through this transmission use #send:. To add new transmissions, use #send:as:.",Because Glamour has a prototype-based design it relies on copying the presentations before installing them in panes (via transmissions).,"A presentation specifies how the pane (held in the pane instance variable) is going to be displayed. It typically reads at least the #entity port of a pane and populates at least the #selection port.
 
  updateActions holds a collection of GLMUpdateAction that are used to update the presentation via announcements.
  
  rawSelectionTransmissions holds a collection of transmission whose origins are this presentation's #rawSelection port. Destinations of this transmissions are on the pane. This collection always contains at least one transmission to the pane's #selection port
 
 The parentPrototype instance variable keeps track of the presentation from which the current one was copied.",,,"It raises:
  - GLMContextChanged to let the world know that something has changed in the containing pane. This is typically used by the renderer to update the rendering.
  - GLMPresentationUpdated to let the world know that the presentations wants to be updated because of reasons other than the pane context changed.",,,,,,,,,,,,,,
MetacelloLookupProjectSpecForLoad,**MetacelloLookupProjectSpecForLoad** ends up returning an instance of **MetacelloProjectSpecForLoad**,,**MetacelloLookupProjectSpecForLoad** ends up returning an instance of **MetacelloProjectSpecForLoad**,**MetacelloLookupProjectSpecForLoad** ends up returning an instance of **MetacelloProjectSpecForLoad**,,,,,,**MetacelloLookupProjectSpecForLoad** ends up returning an instance of **MetacelloProjectSpecForLoad**,,,,,,,,,,,,,,
FLMaterialization,I implement the algorithm for materializing an object graph on a stream. FLMaterializer known how to build instances of me.,,I implement the algorithm for materializing an object graph on a stream.,FLMaterializer known how to build instances of me.,,,,,,FLMaterializer known how to build instances of me.,,,,,,,,,,,,,,
RBTrueFalseDuplicationRule,"Checks for ifTrue:ifFalse: blocks that have the same code at the beginning or end. While you might not originally write such code, as it is modified, it is easier to create such code. Instead of having the same code in two places, you should move it outside the blocks.
  
  For example,
  test
  ifTrue: [self foo. self bar ]
  ifFalse: [ self foo. self baz ]
  is equivalent to:
  
  self foo.
  test
  ifTrue: [ self bar ]
  ifFalse: [ self baz ]",,"Checks for ifTrue:ifFalse: blocks that have the same code at the beginning or end. While you might not originally write such code, as it is modified, it is easier to create such code. Instead of having the same code in two places, you should move it outside the blocks.",,,,,,,,"For example,
  test
  ifTrue: [self foo. self bar ]
  ifFalse: [ self foo. self baz ]
  is equivalent to:
  
  self foo.
  test
  ifTrue: [ self bar ]
  ifFalse: [ self baz ]",,,,,,,,,,,,,
TimeTest,This is the unit test for the class Time.,This is the unit test,,for the class Time.,,,,,,This is the unit test for the class Time.,,,,,,,,,,,,,,
RBAddClassRefactoring,"I am a refactoring for creating new classes.
  
  You can define the name, superclass, category and subclasses.
  
  I am used by other refactorings that may create new classes, for example, RBSplitClassRefactoring.
  
  My preconditions verify that I use a valid class name, that does not yet exists as a global variable,
  and the subclasses (if any) were direct subclasses of the superclass.","""I am a refactoring for creating new classes.","You can define the name, superclass, category and subclasses.
  
  I am used by other refactorings that may create new classes,","I am used by other refactorings that may create new classes, for example, RBSplitClassRefactoring.",,"My preconditions verify that I use a valid class name, that does not yet exists as a global variable,
  and the subclasses (if any) were direct subclasses of the superclass.",,,,"I am used by other refactorings that may create new classes, for example, RBSplitClassRefactoring.",,,,,,,,,,,,,,
AllocationTest,Test originally from Andreas Raab,,,,,,,,,,,,,,,,,,,,,,,Test originally from Andreas Raab
ClyClassGroupProvider,"I am a root of hierarchy of class group providers.
  My subclasses must build class groups for given package scope.
  
  They should implement following method:
  
  - classGroupsIn: aPackageScope do: aBlock
  
  It should create class group instances and pass them into the block.
  Look at ClyClassGroup comment to see how create groups.",I am a root of hierarchy of class group providers.,,,- classGroupsIn: aPackageScope do: aBlock,,,Look at ClyClassGroup comment to see how create groups.,,,,,,,"My subclasses must build class groups for given package scope.
 They should implement following method:",,,,,,,,,
ReExceptionProperty,"This property represents exceptions that occured during other properties computation. This way tools can work witout interuptions, but users will be aware the there were some exceptions.","This property represents exceptions that occured during other properties computation. This way tools can work witout interuptions, but users will be aware the there were some exceptions.","This property represents exceptions that occured during other properties computation. This way tools can work witout interuptions, but users will be aware the there were some exceptions.",,,,,,,,,,,,"This property represents exceptions that occured during other properties computation. This way tools can work witout interuptions, but users will be aware the there were some exceptions.",,,,,,,,,
FLSmallIntegerCluster,I don't have so much sense as a class.,,I don't have so much sense as a class.,,,,,,,,,,,,,,,,,I don't have so much sense as a class.,,,,
TimeZone,"TimeZone is a simple class to colect the information identifying a UTC time zone.
  
  offset - Duration - the time zone's offset from UTC
  abbreviation - String - the abbreviated name for the time zone.
  name - String - the name of the time zone.
  
  TimeZone class >> #timeZones returns an array of the known time zones
  TimeZone class >> #default returns the default time zone (Grenwich Mean Time)",TimeZone is a simple class to colect the information identifying a UTC time zone.,TimeZone is a simple class to colect the information identifying a UTC time zone.,,"TimeZone class >> #timeZones returns an array of the known time zones
  TimeZone class >> #default returns the default time zone (Grenwich Mean Time)",,offset - Duration - the time zone's offset from UTC abbreviation - String - the abbreviated name for the time zone. name - String - the name of the time zone.,,,,,,,,,,,,,,,,,
RxMatchOptimizer,"-- Regular Expression Matcher v 1.1 (C) 1996, 1999 Vassili Bykov
  --
  A match start optimizer, handy for searching a string. Takes a regex syntax tree and sets itself up so that prefix characters or matcher states that cannot start a match are later recognized with #canStartMatch:in: method.
  
  Used by RxMatcher, but can be used by other matchers (if implemented) as well.","A match start optimizer,","A match start optimizer, handy for searching a string. Takes a regex syntax tree and sets itself up so that prefix characters or matcher states that cannot start a match are later recognized with #canStartMatch:in: method.","Used by RxMatcher, but can be used by other matchers (if implemented) as well.",#canStartMatch:in: method.,,,,,"Used by RxMatcher, but can be used by other matchers",,,,,,,,,,,,,,
RBCascadeNode,"RBCascadeNode is an AST node for cascaded messages (e.g., ""self print1 ; print2"").
  
  Instance Variables:
  messages <SequenceableCollection of: RBMessageNode> the messages
  semicolons <SequenceableCollection of: Integer> positions of the ; between messages","RBCascadeNode is an AST node for cascaded messages (e.g., ""self print1 ; print2"").",,,,,"Instance Variables:
  messages <SequenceableCollection of: RBMessageNode> the messages 
  semicolons <SequenceableCollection of: Integer> positions of the ; between messages",,,,,,,,,,,,,,,,,
ZnEndianessReadWriteStream,I am a stream decorator that knows how to read and write little endian numbers from my underlying stream.,I am a stream decorator that knows how to read and write little endian numbers from my underlying stream.,I am a stream decorator that knows how to read and write little endian numbers from my underlying stream.,,,,,,,,,,,,,,,,,,,,,
FFICallbackType,"I'm a FFICallback type.
  I can handle callback type parameters.
  
  What I actually do is to pass the content of #thunk instVar of the objectClass as parameter.
  Thunk needs to be a callback thunk (and then an ExternalAddress).
  The C side of a callback is void* (because is a pointer to a function)",I'm a FFICallback type.,I can handle callback type parameters.,Thunk needs to be a callback thunk (and then an ExternalAddress).,,What I actually do is to pass the content of #thunk instVar of the objectClass as parameter.,What I actually do is to pass the content of #thunk instVar of the objectClass as parameter.,,,Thunk needs to be a callback thunk (and then an ExternalAddress).,,,,,"Thunk needs to be a callback thunk (and then an ExternalAddress).
 
  The C side of a callback is void* (because is a pointer to a function)",,,,,,Thunk needs to be a callback thunk (and then an ExternalAddress).,,,
GTEventCollectors,"I represent a collection of GTEventCollector objects. GTEventRecorder uses me and I am responsible for adding and removing the collectors.
  
  Public API and Key Messages
  
  - add:
  - remove:
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  collectors: <OrderedCollection>
  mutex: <Mutex>",I represent a collection of GTEventCollector objects,GTEventRecorder uses me and I am responsible for adding and removing the collectors.,GTEventRecorder uses me and I am responsible for adding and removing the collectors.,"Public API and Key Messages
  
  - add:
  - remove:",,"Internal Representation and Key Implementation Points.
  
  Instance Variables
  collectors: <OrderedCollection>
  mutex: <Mutex>",,,GTEventRecorder uses me and I am responsible for adding and removing the collectors.,,,,,,,,,,,,,,
EpProtocolChange,I represent a change in the protocols of a class.,I represent a change in the protocols of a class.,,,,,,,,,,,,,,,,,,,,,,
BaseSlot,"I am a hidden non-virtual slot that the virtual slots BooleanSlot and PropertySlot store into.
  
  They, when a class is created containing it, makes sure that there is one slot of me defined. When the last virtual slot is removed, I am removed.","""I am a hidden non-virtual slot that the virtual slots BooleanSlot and PropertySlot store into.
  
  They, when a class is created containing it, makes sure that there is one slot of me defined. When the last virtual slot is removed, I am removed.""",,"""I am a hidden non-virtual slot that the virtual slots BooleanSlot and PropertySlot store into.
  
  They, when a class is created containing it, makes sure that there is one slot of me defined. When the last virtual slot is removed, I am removed.""","""I am a hidden non-virtual slot that the virtual slots BooleanSlot and PropertySlot store into.
  
  They, when a class is created containing it, makes sure that there is one slot of me defined. When the last virtual slot is removed, I am removed.""",,,,,,,,,,,,,,,,,,,
WideCharacterSetTest,WideCharacterSetTest holds tests for WideCharacterSet,,WideCharacterSetTest holds tests for WideCharacterSet,WideCharacterSetTest holds tests for WideCharacterSet,,,,,,,,,,,,,,,,,,,,
OSWindowWorldMorph,"I am a morphic world that uses OSWindow.
  
  For opening a World in a external window, the following script can be used:
  
  world := OSWindowWorldMorph new.
  world open.","""I am a morphic world that uses OSWindow.",,,,,,,,,"For opening a World in a external window, the following script can be used: world := OSWindowWorldMorph new.
  world open.",,,,,,,,,,,,,
ZnEntity,"I am ZnEntity, an abstract HTTP Entity.
  
  An entity has a content type (mime-type), a content length (byte length) and a contents.
  
  Entities can encode and decode themselves to and from binary streams.
  
  Part of Zinc HTTP Components.","I am ZnEntity, an abstract HTTP Entity.",Entities can encode and decode themselves to and from binary streams.,Entities can encode and decode themselves to and from binary streams.,,,"An entity has a content type (mime-type), a content length (byte length) and a contents.",,,,,,,,,,,,,,,Part of Zinc HTTP Components.,,
RBAbstractClass,"I am the base class of RBClass and RBMetaclass implementing the common behavior for creating and accessing class and metaclass elements in a refactoring namespace.
  
  My subclass instances are created in a refactoring namespace when querying the environment for existing
  classes (or metaclasses) and when creating or changing classes during refactoring operations.
  
  RBClass and RBMetaclass are used to model existing, changed or newly added classes before actually applying the refactoring change to the system.
  You can query the class name, defined methods and variables.
  They provide a similar interface like the real classes, but only the part that is necessary for the
  refactoring framework.
  
  They shouldn't be directly used and always be a part of a refacotoring namespace - the model.
  
  Likewise this classes, my methods aren't real methods but models (RBMethod) that representing a real methods.
  
  Changes for my methods during refactoring are stored in a list of
  newMethods and removedMethods.
  Like a real class I referre to my superclass and subclass, which again are actually RBClasses.",I am the base class of RBClass and RBMetaclass implementing the common behavior for creating and accessing class and metaclass elements in a refactoring namespace.,I am the base class of RBClass and RBMetaclass implementing the common behavior for creating and accessing class and metaclass elements in a refactoring namespace.,"RBClass and RBMetaclass are used to model existing, changed or newly added classes before actually applying the refactoring change to the system.
  Likewise this classes, my methods aren't real methods but models (RBMethod) that representing a real methods.",,,,,"RBClass and RBMetaclass are used to model existing, changed or newly added classes before actually applying the refactoring change to the system.",,,,,,They shouldn't be directly used and always be a part of a refacotoring namespace - the model.,,,,,,,,,
RBAddClassVariableChange,I am a refactoring for a class variable addition. My changes are executed on the instance side.,I am a refactoring for a class variable addition.,I am a refactoring for a class variable addition.,,,My changes are executed on the instance side.,,,,,,,,,,,,,,,,,,
FFIUnknownLibrary,"I'm used when there is no defined library as a module.
  In case FFI users want to declare modules as simple strings, I'm used to model the access to that library.
  I'm never used directly! Instead, users will utilize Strings that will be converted to me thru #asFFILibrary method.
  That way, is completely the same to do a call this way:
  
  self ffiCall: #( void fn () ) module: 'libc'.
  
  and
  
  self ffiCall: #( void fn () ) module: LibC.
  
  (but of course recomended way is to use a module, in case you need a strategy to find libraries in different platforms.",,"""I'm used when there is no defined library as a module.
  In case FFI users want to declare modules as simple strings, I'm used to model the access to that library.",,,,,,,,"I'm never used directly! Instead, users will utilize Strings that will be converted to me thru #asFFILibrary method.
  That way, is completely the same to do a call this way:
  
  self ffiCall: #( void fn () ) module: 'libc'.
  
  and
  
  self ffiCall: #( void fn () ) module: LibC.
  
  (but of course recomended way is to use a module, in case you need a strategy to find libraries in different platforms.""",,,,"I'm never used directly! Instead, users will utilize Strings that will be converted to me thru #asFFILibrary method.","(but of course recomended way is to use a module, in case you need a strategy to find libraries in different platforms.",,,,,,,,
IceTipRepairCheckoutBranch,"I will perform the chechout of an existing branch, but I will remove all changes on image.
  
  I'm active when:
  - working copy is detached
  - repository HEAD is detached",,"I will perform the chechout of an existing branch, but I will remove all changes on image.",,,,,,,,,,,,,,,,,,"I'm active when:
 - working copy is detached
 - repository HEAD is detached",,,
ClySpotterModel,"I'm a model to collect options for ""spotter navigation"" mode in a full browser.","I'm a model to collect options for ""spotter navigation"" mode in a full browser.","I'm a model to collect options for ""spotter navigation"" mode in a full browser.",,,,,,,,,,,,,,,,,,,,,
OverridesDeprecatedMethodRule,The method overrided a deprecated method. This is a sign that an API has changed in an upstream project and most likely the method should override another one,,,,,,,,,,,,,,,,,,This is a sign that an API has changed in an upstream project and most likely the method should override another one,,The method overrided a deprecated method.,,,
SpecPragmaCollector,"A SpecPragmaCollector is a specialized PragmaCollector.
  
  Sonce we just want specs defined on class side, we do not have to check the whole system, then to restrain.","A SpecPragmaCollector is a specialized PragmaCollector.
  
  Sonce we just want specs defined on class side, we do not have to check the whole system, then to restrain.",,,,,,,,,,,,,,,,,,,,,,
GRTemporaryNeitherReadNorWrittenRule,There is something wrong in the method as you have variables that are either nor read or not written (or both).,,,,,,,,,,,,,as you have variables that are either nor read or not written (or both).,,,,,,There is something wrong in the method,,,,
FFITestStructureByPlatform,A structure for test purposes,A structure for test purposes,A structure for test purposes,,,,,,,,,,,,,,,,,,,,,
EpBehaviorCommentChange,I represent a change in the comment of a class or a trait.,I represent a change in the comment of a class or a trait.,,,,,,,,,,,,,,,,,,,,,,
SDL2,A bunch of functions in a single class for accessing SDL2 interface,A bunch of functions in a single class for accessing SDL2 interface,A bunch of functions in a single class for accessing SDL2 interface,,,,,,,,,,,,,,,,,,,A bunch of functions in a single class for accessing SDL2 interface,,
RBMethodName,"I represent a method name (selector and arguments) in the refactoring framework.
  
  I am used by refactoring operations - for example RBMoveMethodRefactoring.
  
  I have a selector name and a list of arguments and I use RBScanner to validate the syntax of my selector name.
  
  In the refactory framework I am used for representing a new method name, generated by the refactoring operation or requested by the caller.
  
  You can create instances of me by
  RBMethodName selector: 'color:' arguments:{'aColor'}.
  (RBMethodName selector:'color' arguments:{}) isValid.","""I represent a method name (selector and arguments) in the refactoring framework.","I am used by refactoring operations - for example RBMoveMethodRefactoring.
  
  I have a selector name and a list of arguments and I use RBScanner to validate the syntax of my selector name.
  
  In the refactory framework I am used for representing a new method name, generated by the refactoring operation or requested by the caller.","I am used by refactoring operations - for example RBMoveMethodRefactoring.
  
  I have a selector name and a list of arguments and I use RBScanner to validate the syntax of my selector name.",,,,,,,"You can create instances of me by
  RBMethodName selector: 'color:' arguments:{'aColor'}.
  (RBMethodName selector:'color' arguments:{}) isValid.""",,,,,,,,,,,,,
HaltOnCountIconStyler,"I'm in charge to style the editor for a ""haltOnCount:"". Clicking on it resets the counter.","I'm in charge to style the editor for a ""haltOnCount:"". Clicking on it resets the counter.","I'm in charge to style the editor for a ""haltOnCount:"". Clicking on it resets the counter.","I'm in charge to style the editor for a ""haltOnCount:"".","I'm in charge to style the editor for a ""haltOnCount:"".",,,,,,,,,,,,,,,,,,,
MCWorkingHistoryBrowser,Browser for working history,Browser for working history,,,,,,,,,,,,,,,,,,,,,,
RBRemoveClassChange,"I am a class refactoring change for removing a class. On execution, my class will be removed from the system (all globals).","I am a class refactoring change for removing a class. On execution, my class will be removed from the system (all globals).","On execution, my class will be removed from the system (all globals).",,,,,,,,,,,,,,,,,,,,,
MorphicImageAdapter,I am the bridge between an ImagePresenter and a AlphaImageMorph,I am the bridge between an ImagePresenter and a AlphaImageMorph,,I am the bridge between an ImagePresenter and a AlphaImageMorph,,,,,,,,,,,,,,,,,,,,
HETrait,"I implement the custom behavior for exporting a trait.
  My header only includes the name of the trait.
  Mostly of my behavior is from HEMethodContainer.",,I implement the custom behavior for exporting a trait.,Mostly of my behavior is from HEMethodContainer.,,,,,,,,,,,,,,,,,,,,
ClyInheritedTraitScope,"I represent class scope of all inherited traits excluding basis.
  I see methods of all traits which are used by my basis classes or traits",I represent class scope of all inherited traits excluding basis.,I see methods of all traits which are used by my basis classes or traits,I represent class scope of all inherited traits excluding basis.,,,,,,,,,,,,,,,,,,,,
WidgetExamples,"This class provides examples on how different widgets can be made.
  See the methods starting with ""example"" in my class side.
  
  Examples for different widgets:
  
  WidgetExamples exampleBasicControls.
  WidgetExamples exampleOtherControls.
  WidgetExamples exampleColorControls.
  WidgetExamples exampleDialogs.
  WidgetExamples exampleGroups.
  WidgetExamples exampleTextEntryWithCompletionDialog.
  WidgetExamples exampleWindowWithToolbars.",This class provides examples on how different widgets can be made.,,,"See the methods starting with ""example"" in my class side.",,,,,,"Examples for different widgets: WidgetExamples exampleBasicControls.
 WidgetExamples exampleOtherControls.
 WidgetExamples exampleColorControls.
 WidgetExamples exampleDialogs.
 WidgetExamples exampleGroups.
 WidgetExamples exampleTextEntryWithCompletionDialog.
 WidgetExamples exampleWindowWithToolbars.",,,,,,,,,,,,,
RubSmalltalkCodeMode,I represent the mode to use for editing smalltalk code,I represent the mode to use for editing smalltalk code,,,,,,,,,,,,,,,,,,,,,,
GLMMorphicFastTreeRenderer,"I am a Morphic renderer for a GLMFastTreePresentation.
  
  Description
  --------------------
  
  I use a GLMFastTreeDataSource to manage the data of the tree.","""I am a Morphic renderer for a GLMFastTreePresentation.","I use a GLMFastTreeDataSource to manage the data of the tree.""",,,,,,,"I am a Morphic renderer for a GLMFastTreePresentation.
 
  I use a GLMFastTreeDataSource to manage the data of the tree.",,,,,,,,,,,,,,
MorphicUIBugTest,"A MorphicUIBugTest is a class for testing the shortcomings and repairs of the MorphicUI manager.
  .
  
  Instance Variables
  cases: <aCollection>
  
  cases
  - a list of morphs that may need to be deleted during teardown.
  the tests are expected to fill this list it starts out empty by default.",A MorphicUIBugTest is a class for testing the shortcomings and repairs of the MorphicUI manager.,A MorphicUIBugTest is a class for testing the shortcomings and repairs of the MorphicUI manager.,,,,"Instance Variables
 cases: <aCollection>",,,,,,,,,,,,,,,,,
DADependentPackageItemDiff,A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis.,A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis.,A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis.,A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis.,,,,,,,,,,,,,,,,,A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis.,,,
