Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Exapnd,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E1,,E4 (agree),,GDBControl_7_12.java,"
 * Need a new FinalLaunchSequence for GDB 7.12
 * @since 5.2",4,,,,"Need a new FinalLaunchSequence for GDB 7.12
 @since 5.2",,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,GdbExpressionVMProvider.java," * A specialization of ExpressionVMProvider that uses a GDB-specific variable VM
 * node. To understand why this is necessary, see GdbVariableVMNode.",4,A specialization of ExpressionVMProvider,that uses a GDB-specific variable VM node,,,,,,,,,,,,"To understand why this is necessary, see GdbVariableVMNode",,,,,,,,,
E1,E2 (agree),,,IBuildObject.java," * @noextend This class is not intended to be subclassed by clients.
 * @noimplement This interface is not intended to be implemented by clients.",4,,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ICLibraryFileEntry.java,"
 * Representation in the project model of language settings entries
 * such as library file (-l gcc option). See {@link ICSettingEntry#LIBRARY_FILE}.",4,Representation in the project model of language settings entries such as library file (-l gcc option).,,,,,,,,,,,,,See {@link ICSettingEntry#LIBRARY_FILE}.,,,,,,,,,
E1,E2 (agree),,,ICPointerType.java," * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",4,,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ICPPPointerToMemberType.java,"
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",4,,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IInclude.java," * Represents an include declaration in a C translation unit.
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",4,Represents an include declaration in a C translation unit,,,,"@noextend This interface is not intended to be extended by clients.
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IJSSwitchCase.java," * A JavaScript switch case from the <a href=""https://github.com/estree/estree/blob/master/spec.md#switchcase"">ESTree
 * Specification</a>",4,"A JavaScript switch case from the <a href=""https://github.com/estree/estree/blob/master/spec.md#switchcase"">ESTree Specification</a>",,,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IMacroEntry.java," * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",4,,,,,"@noextend This interface is not intended to be extended by clients. 
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,IRegisters2.java," * Service extension of IRegisters to manage user defined Register Groups
 * @since 2.6",4,Service extension of IRegisters to manage user defined Register Groups,,,@since 2.6,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,IViewInMemory.java,"
 * Provides the ability to view a variable in the memory view.
 * @since 7.4",4,Provides the ability to view a variable in the memory view.,,,@since 7.4,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,MIThreadCreatedEvent.java,"
 * This can only be detected by gdb/mi after GDB 6.8.
 *",4,,,,This can only be detected by gdb/mi after GDB 6.8.,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,MultiCfgContributedEnvironment.java,"
 *
 * @noextend This class is not intended to be subclassed by clients.
 ",4,,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,,,,This class is not intended to be subclassed by clients.,,,,,,
E1,,E3 (agree),,MultiLaunchConfigurationTabGroup.java," * Tab group for Launch Group.
 * @deprecated See Bug 517722, Launch Groups are now part of Platform.
 ",4,Tab group for Launch Group.,,,"@deprecated See Bug 517722, Launch Groups are now part of Platform.",,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,QtPDOMNameIndex.java," * A data structure for storing lists of PDOMNames that are indexed by a String key.
 * This is equivalent to the java type Map<String, List<PDOMName>>.",4,A data structure for storing lists of PDOMNames that are indexed by a String key.,"This is equivalent to the java type Map<String, List<PDOMName>>",,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TestsRunnerProvidersManager.java,"
 * Collects the data from the Tests Runner provider plug-in extension points and
 * provides the convenient access to it.",4,Collects the data from the Tests Runner provider plug-in extension points and provides the convenient access to it.,,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,WorkingCopyTests.java," * Contains unit test cases for Working Copies. Run using JUnit Plugin Test
 * configuration launcher.",4,Contains unit test cases for Working Copies,,,,Run using JUnit Plugin Test configuration launcher.,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,AddLineBreakpointActionDelegate.java,"
 * A delegate for the ""Add Line Breakpoint"" action.
 * <p>
 * Initially derived from AddFunctionBreakpointActionDelegate",5,"A delegate for the ""Add Line Breakpoint"" action.",Initially derived from AddFunctionBreakpointActionDelegate,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,C99BuildASTParserAction.java,"
 * Semantic actions called by the C99 parser to build an AST.
 *
 * @author Mike Kucera",5,Semantic actions called by the C99 parser to build an AST.,,,,,,,,,,,,@author Mike Kucera,,,,,,,,,,
E1,,E4 (agree),,CommonBuildTab.java,"
 * Common utilities for Core Build launch configuration tabs.
 *
 * @since 9.1",5,Common utilities for Core Build launch configuration tabs.,,,@since 9.1,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,ContainerTabModel.java,"
 * @since 1.2.1
 * @author jjohnstn
 *
 ",5,,,,@since 1.2.1,,,,,,,,,@author jjohnstn,,,,,,,,,,
E1,,E4 (agree),,CoreBuildGenericLaunchConfigProvider.java,"
 * Core launch configuration provider used by generic target types.
 *
 * @since 8.3",5,Core launch configuration provider used by generic target types.,,,@since 8.3,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CUIPreferenceInitializer.java,"
 * This class implements the setting of the CUI initial preference store settings.
 *
 * @noextend This class is not intended to be subclassed by clients.",5,This class implements the setting of the CUI initial preference store settings.,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CWordFinder.java,"
 * This is a helper class for the text editor to be able to determine, given a
 * particular offset in a document, various candidates segments for things like
 * context help, proposals and hovering.",5,"This is a helper class for the text editor to be able to determine, given a particular offset in a document, various candidates segments for things like context help, proposals and hovering.",,,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,FoldingConfigurationBlock.java,"
 * Configures C Editor folding preferences.
 *
 * @since 3.0",5,Configures C Editor folding preferences,,,@since 3.0,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,GDBSourceLookup.java,"
 * Default implementation of {@link IGDBSourceLookup}
 *
 * @since 5.0",5,Default implementation of {@link IGDBSourceLookup},,,@since 5.0,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,GroupDebugContextsCommandHandler.java,"
 * Command handler to trigger grouping of debug contexts operation.
 *
 * @since 7.1",5,Command handler to trigger grouping of debug contexts operation.,,,@since 7.1,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ICLanguageSettingPathEntry.java,"
 * Representation in the project model of language settings entries of
 * path-kind such as include paths (-I) or include files and others.
 * See interface hierarchy for more specifics.",5,Representation in the project model of language settings entries of path-kind such as include paths (-I) or include files and others.,,,,,,,,,,,,,See interface hierarchy for more specifics.,,,,,,,,,
E1,E2 (agree),,,ICSourceNotFoundDescription.java,"
 * This interface is used to provide a description of a debug element,
 * usually a stack frame, when no source can be located for it.
 * An instance is usually provided by an adapter.",5,"This interface is used to provide a description of a debug element, usually a stack frame, when no source can be located for it.",An instance is usually provided by an adapter.,,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,INodeFactory.java,"
 * Control Flow Graph Node factory
 *
 * @noextend This interface is not intended to be extended by clients.",5,Control Flow Graph Node factory,,,,@noextend This interface is not intended to be extended by clients.,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IScannerInfoConsoleParser.java,"
 * Parses a line of command output looking for scanner info entries.
 *
 * @author vhirsl",5,Parses a line of command output looking for scanner info entries.,,,,,,,,,,,,@author vhirsl,,,,,,,,,,
E1,,E3 (agree),,ProcStatParser.java,"
 * @author Marc Dumais
 * TODO: extend to more than the tick counters.
 * @see also http://www.linuxhowtos.org/System/procstat.htm",5,,,,,,,TODO: extend to more than the tick counters.,,,,,,@author Marc Dumais,@see also http://www.linuxhowtos.org/System/procstat.htm,,,,,,,,,
E1,,E3 (agree),,SCDOptionsEnum.java,"
 * Enumeration class for scanner configuration affecting command line options
 *
 * @author vhirsl",5,Enumeration class for scanner configuration affecting command line options,,,,,,,,,,,,@author vhirsl,,,,,,,,,,
E1,,E3 (agree),,ToggleDynamicPrintfAdapter.java,"
 * Toggles a dynamic printf in a C/C++ editor.
 *
 * @since 7.5",5,Toggles a dynamic printf in a C/C++ editor.,,,@since 7.5,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TracepointActionsPropertyPage.java,"
 * Property page for Tracepoint actions
 *
 * @since 2.1",5,Property page for Tracepoint actions,,,@since 2.1,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TypedCDTViewerFilter.java,"
 * see org.eclipse.cdt.internal.ui.dialogs.TypedViewerFilter
 *
 * @noextend This class is not intended to be subclassed by clients.",5,,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,see org.eclipse.cdt.internal.ui.dialogs.TypedViewerFilter,,,,,,,,,
E1,,E3 (agree),,UncallCommandHandler.java,"
 * Command handler to trigger an uncall operation
 *
 * @since 7.0
 ",5,Command handler to trigger an uncall operation,,,@since 7.0,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,UPCKeyword.java,"
 * Enumeration of keywords that UPC adds to C99.
 *
 * @author Mike Kucera
 ",5,Enumeration of keywords that UPC adds to C99.,,,,,,,,,,,,@author Mike Kucera,,,,,,,,,,
E1,,E3 (agree),,UPCLanguage.java,"
 * Implementation of the ILanguage extension point, adds UPC as a language to CDT.
 *
 * @author Mike Kucera",5,"Implementation of the ILanguage extension point, adds UPC as a language to CDT.",,,,,,,,,,,,@author Mike Kucera,,,,,,,,,,
E1,,E4 (agree),,AbstractTrialUndoActionProvider.java,"
 * Base class for parser action classes which support trial, undo and
 * final actions.
 |
         * Action for a null rule",6,"Base class for parser action classes which support trial, undo and final actions.",Action for a null rule,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,AllTemplateEngineTests.java," * This is a TestSuite, the TestCases created to test Template engine are
 * added to testsuite.
 * The test suite will execute all the Testcases added to the Suite.
 *
 * @since 4.0",7,"This is a TestSuite, the TestCases created to test Template engine are added to testsuite.",The test suite will execute all the Testcases added to the Suite.,,@since 4.0,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,AutoconfMacroParameterListValidator.java,"
 * This class provides the macro call parameter parsing for the Autoconf Editor hover
 * It is modified from the CDT class CParameterListValidator
 *
 * @author jjohnstn
 *",7,This class provides the macro call parameter parsing for the Autoconf Editor hover,It is modified from the CDT class CParameterListValidator,,,,,,,,,,,@author jjohnstn,,,,,,,,,,
E1,,E4 (agree),,ClangToolChain.java,"
 * The Clang toolchain. There's little different from the GCC toolchain other
 * than the toolchain type and name.
 *
 * @author dschaefer
 *",7,The Clang toolchain.,There's little different from the GCC toolchain other than the toolchain type and name.,,,,,,,,,,,@author dschaefer,,,,,,,,,,
E1,,E4 (agree),,DefaultEnvironmentContextInfo.java,"
 * The default implementation of the IContextInfo used by the Environment Variable Provider
 * Used to represent the Configuration, Project, Workspace and Eclipse environment contexts
 *
 * @since 3.0",6,The default implementation of the IContextInfo used by the Environment Variable Provider,,"Used to represent the Configuration, Project, Workspace and Eclipse environment contexts",@since 3.0,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,DocCommentOwnerBlock.java,"
 * Project property page for setting documentation comment owner.
 * <em>This class is not intended for use outside of CDT</em>
 *
 * @noextend This class is not intended to be subclassed by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",7,Project property page for setting documentation comment owner.,,,,"<em>This class is not intended for use outside of CDT</em>
 
 
  @noextend This class is not intended to be subclassed by clients. 
 @noinstantiate This class is not intended to be instantiated by clients.",,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,ElementNumberFormatsContribution.java,"
 * Dynamic menu contribution that shows available number formats in the current
 * selection of the view.
 *
 * @since 2.2",6,Dynamic menu contribution that shows available number formats in the current selection of the view.,,,@since 2.2,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,FindStdLibPath.java,"
 * The purpose is to find a path where stdc++ library is located.
 * Currently the shell script is only for Linux.
 *
 * TODO: It might not be able to execute scripts therefore place the command into a variable.",6,,,The purpose is to find a path where stdc++ library is located.,,Currently the shell script is only for Linux.,,TODO: It might not be able to execute scripts therefore place the command into a variable.,,,,,,,,,,,,,,,,
E1,E2 (agree),,,FormattedValueTests.java,"
 * Tests to verify the operation of FormattedValuesVMUtil
 * @since 2.2
 |
	 * helper class that stores some element paths and nodes using a certain format",6,Tests to verify the operation of FormattedValuesVMUtil,helper class that stores some element paths and nodes using a certain forma,,@since 2.2,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ICPPAliasTemplateInstance.java," * Represents an instance of an alias template (14.5.7).
 * @since 5.5
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.
 ",7,Represents an instance of an alias template (14.5.7).,,,@since 5.5,"@noextend This interface is not intended to be extended by clients. 
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ICPPASTLinkageSpecification.java,"
 * This interface represents a linkage specification. e.g. extern ""C"" { ... }
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",6,"This interface represents a linkage specification. e.g. extern ""C"" { ... }",,,,"@noextend This interface is not intended to be extended by clients.
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IDsfDebugServicesFactory.java,"
 * A factory to create DSF services.  Using this interface allows
 * to easily have different service implementation for different backends.
 *
 * @since 1.1",6,A factory to create DSF services.,,Using this interface allows to easily have different service implementation for different backends.,@since 1.1,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IMIBackend.java,"
 * Service for controlling the back end process.
 * @since 1.1
 |
	 * Event indicating that the back end process has started or terminated.
	 ",6,Service for controlling the back end process.,Event indicating that the back end process has started or terminated,,@since 1.1,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IMSASTDeclspecList.java,"
 * Represents a Microsoft attribute specifier, introduced by __declspec.
 *
 * @since 6.6
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.
 ",7,"Represents a Microsoft attribute specifier, introduced by __declspec.",,,@since 6.6,"@noextend This interface is not intended to be extended by clients. 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,IRefreshAllTarget.java,"
 * A retargetable action target which allows a debugger to refresh all of its
 * active views with fresh data from the debug target.
 *
 * @since 1.1",6,A retargetable action target which allows a debugger to refresh all of its active views with fresh data from the debug target.,,,@since 1.1,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,MIReverseDebugEnabler.java,"
 *
 * This class permits to enable, disable or toggle the reverse
 * debugging mode.
 *
 * @since 4.2",7,"This class permits to enable, disable or toggle the reverse debugging mode.",,,@since 4.2,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,MIThreadGroupAddedEvent.java,"
 * =thread-group-added,id=""i1""
 *
 * This can only be detected by gdb/mi with GDB >= 7.2.
 * @since 5.1",6,,"=thread-group-added,id=""i1""",,"This can only be detected by gdb/mi with GDB >= 7.2.
  @since 5.1",,,,,,,,,,,,"=thread-group-added,id=""i1""",,,,,,,
E1,,E3 (disagree),,PDOMDependencyGenerator.java," * @author Doug Schaefer
 *
 * @noextend This class is not intended to be subclassed by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",6,,,,,"@noextend This class is not intended to be subclassed by clients. 
 @noinstantiate This class is not intended to be instantiated by clients.",,,,,,,,@author Doug Schaefer,,,," * @noextend This class is not intended to be subclassed by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",,,,,,
E1,,E3 (agree),,ProblemMarkerManager.java,"
 * Listens to resource deltas and filters for marker changes of type
 * IMarker.PROBLEM Viewers showing error ticks should register as listener to
 * this type.
 |
         * Visitors used to filter the element delta changes",7,Listens to resource deltas and filters for marker changes of type IMarker.PROBLEM,Visitors used to filter the element delta change,,,Viewers showing error ticks should register as listener to this type.,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,ProcessLauncher.java,"
 * This class implements external process launching for internal builder.
 *
 * NOTE: This class is subject to change and discuss,
 * and is currently available in experimental mode only",6,This class implements external process launching for internal builder.,,,,,,,,,,,,,,,,"NOTE: This class is subject to change and discuss, and is currently available in experimental mode only",,,,,,
E1,,E3 (agree),,StandardCElementLabelProvider.java,"
 * CElementLabelProvider that respects settings from the Appearance preference page.
 * Triggers a viewer update when a preference changes.
 *
 * @deprecated Use {@link AppearanceAwareLabelProvider} instead.",6,CElementLabelProvider that respects settings from the Appearance preference page.,Triggers a viewer update when a preference changes.,,@deprecated Use {@link AppearanceAwareLabelProvider} instead.,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,VMHasChildrenUpdate.java," * Helper class implementation of the {@link IHasChildrenUpdate} update object.
 *
 * @see VMViewerUpdate
 *
 * @since 1.0",7,Helper class implementation of the {@link IHasChildrenUpdate} update object.,,,@since 1.0,,,,,,,,,,@see VMViewerUpdate,,,,,,,,,
E1,,E4 (agree),,AbstractCPropertyTab.java,"
 * It is a parent for all standard property tabs
 * in new CDT model.
 *
 * Although it's enough for new tabs to implement
 * ICPropertyTab interface only, it would be better
 * to extend them from this class.
 *
 * In this case, we'll able to use:
 * - a lot of utility methods via ""provider"" link.
 *   In particular, it allows to get current project,
 *   configuration etc. See ICPropertyProvider interface.
 * - a standard way to create buttons (ins/edit/del etc)
 *   and to handle their events (see buttonPressed(int))
 * - several utility methods to create widgets in the
 *   uniform manner (setupLabel(), setupText() etc).
 * - means to handle control messages which are the main
 *   communication way for new CDT model pages and tabs.",19,It is a parent for all standard property tabs in new CDT model.,,"In this case, we'll able to use:
  - a lot of utility methods via ""provider"" link.
  In particular, it allows to get current project,
  configuration etc. See ICPropertyProvider interface.
  - a standard way to create buttons (ins/edit/del etc)
  and to handle their events (see buttonPressed(int))
  - several utility methods to create widgets in the
  uniform manner (setupLabel(), setupText() etc).
  - means to handle control messages which are the main
  communication way for new CDT model pages and tabs.",,"Although it's enough for new tabs to implement ICPropertyTab interface only, it would be better to extend them from this class.",,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,AddMemoryBlocks.java,"
 * Adds memory blocks to the Memory view.
 *
 * <p>
 * CDT adapter logic will link us to a CMemoryBlockRetrievalExtension
 * if and only if the CDI backend support memory spaces. When this is the case,
 * the platform will call us to add a memory monitor to the Memory view. We
 * must put up a dialog, handle the user input, create the memory blocks
 * with default renderings and add them to the view.
 *
 * <p>
 * @since 3.2
 *
 | In order to avoid duplicating the addMemoryBlocks method--one| version for expressions, one for memory-space+address, we pass in a| an opaque parameter and let the logic within addMemoryBlocks| differentiate where needed via isinstanceof| Request object used to get the memory spaces ",14,Adds memory blocks to the Memory view.,"<p> CDT adapter logic will link us to a CMemoryBlockRetrievalExtension if and only if the CDI backend support memory spaces. When this is the case, the platform will call us to add a memory monitor to the memory view. We must put up a dialog, handle the user input, create the memory blocks with default renderings and add them to the view. <p>",,@since 3.2,"In order to avoid duplicating the addMemoryBlocks method--one| version for expressions, one for memory-space+address, we pass in a| an opaque parameter and let the logic within addMemoryBlocks| differentiate where needed via isinstanceof| Request object used to get the memory spaces",,,,,,,,,,,,,,,,,,
