Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Expand,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E4,,E3 (disagree),,HashResolver.java,* Order the destinations based on consistent hashing.,1-3,Order the destinations based on consistent hashing.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (disagree),,GetNamespaceInfoResponse.java,* API response for listing HDFS namespaces present in the state store.,1-3,API response for listing HDFS namespaces present in the state store.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestSCMDatanodeHeartbeatDispatcher.java,* This class tests the behavior of SCMDatanodeHeartbeatDispatcher.,1-3,This class tests the behavior of SCMDatanodeHeartbeatDispatcher.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestOmMultipartKeyInfoCodec.java,* This class tests OmMultipartKeyInfoCodec.,1-3,This class tests OmMultipartKeyInfoCodec.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestRouterWebServiceUtil.java,* Test class to validate RouterWebServiceUtil methods.,1-3,Test class to validate RouterWebServiceUtil methods.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TableConfig.java,* Class that maintains Table Configuration.,1-3,Class that maintains Table Configuration.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,DelegationTokenIdentifier.java,* A delegation token identifier that is specific to HDFS.,1-3,A delegation token identifier that is specific to HDFS.,A delegation token identifier that is specific to HDFS.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,HttpHeaderConfigurations.java,* Responsible to keep all abfs http headers here.,1-3,,Responsible to keep all abfs http headers here.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestOzoneNativeAuthorizer.java,* Test class for {@link OzoneNativeAuthorizer}.,1-3,Test class for {@link OzoneNativeAuthorizer}.,,,,,,,,,,,,,Test class for {@link OzoneNativeAuthorizer}.,,,,,,,,,
E4,,E3 (agree),,TestAdlContractDeleteLive.java,* Test delete contract test.,1-3,Test delete contract test.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,ConfigurationException.java,* Exception to throw in case of a configuration problem.,1-3,Exception to throw in case of a configuration problem.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,AbstractS3ACommitterFactory.java,* Dynamically create the output committer based on subclass type and settings.,1-3,,Dynamically create the output committer based on subclass type and settings.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestRDBStore.java,* RDBStore Tests.,1-3,RDBStore Tests.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,NullOutputFormat.java,* Consume all outputs and put them in /dev/null.,1-3,Consume all outputs and put them in /dev/null.,Consume all outputs and put them in /dev/null.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,DefaultAnonymizingRumenSerializer.java,* Default Rumen JSON serializer.,1-3,Default Rumen JSON serializer.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,QueueName.java,* Represents a queue name.,1-3,Represents a queue name.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TestAdlContractSeekLive.java,* Test seek operation on Adl file system.,1-3,Test seek operation on Adl file system.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,YarnServiceJobSubmitter.java,* Submit a job to cluster.,1-3,Submit a job to cluster.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TimelineStorageMonitor.java,"* This abstract class is for monitoring Health of Timeline Storage.
| Different Storages supported by ATSV2.",1-3,This abstract class is for monitoring Health of Timeline Storage,,for monitoring Health of Timeline Storage,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TestFederationPolicyUtils.java,* Unit test for {@link FederationPolicyUtils}.,1-3,Unit test for {@link FederationPolicyUtils}.,,,,,,,,,,,,,Unit test for {@link FederationPolicyUtils}.,,,,,,,,,
E2,E1 (agree),,,LocalizationStatusPBImpl.java,* PB Impl of {@link LocalizationStatus}.,1-3,PB Impl of {@link LocalizationStatus}.,,,,,,,,,,,,,PB Impl of {@link LocalizationStatus}.,,,,,,,,,
E2,E1 (agree),,,StandardSocketFactory.java,* Specialized SocketFactory to create sockets with a SOCKS proxy,1-3,Specialized SocketFactory to create sockets with a SOCKS proxy,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TestHandler.java,* Tests Handler interface.,1-3,Tests Handler interface.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,FsConstants.java,* FileSystem related constants.,1-3,FileSystem related constants,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,BlockUtils.java,* Utils functions to help block functions.,1-3,Utils functions to help block functions,,Utils functions to help block functions,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,OpportunisticContainersStatusPBImpl.java,* Protocol Buffer implementation of OpportunisticContainersStatus.,1-3,Protocol Buffer implementation of OpportunisticContainersStatus,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TestFileSizeCountTask.java,* Unit test for File Size Count Task.,1-3,Unit test for File Size Count Task,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,DockerKillCommand.java,* Encapsulates the docker kill command and its command line arguments.,1-3,Encapsulates the docker kill command and its command line arguments.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,DfsServlet.java,* A base class for the servlets in DFS.,1-3,A base class for the servlets in DFS,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,LogParserUtil.java,* Common utility functions for {@link LogParser}.,1-3,Common utility functions for {@link LogParser},,,,,,,,,,,,,Common utility functions for {@link LogParser},,,,,,,,,
E2,,E3 (agree),,RSLegacyRawErasureCoderFactory.java,* A raw coder factory for the legacy raw Reed-Solomon coder in Java.,1-3,A raw coder factory for the legacy raw Reed-Solomon coder in Java.,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,InfoKeyHandler.java,* Executes Info Object.,1-3,Executes Info Object,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,TestSeveralNameNodes.java,* Test that we can start several and run with namenodes on the same minicluster,1-3,Test that we can start several and run with namenodes on the same minicluster,we can start several and run with namenodes on the same minicluster,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,TestRegistrySecurityHelper.java,* Test for registry security operations,1-3,Test for registry security operations,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,SequenceFileRecordReader.java,* An {@link RecordReader} for {@link SequenceFile}s.,1-3,* An {@link RecordReader} for {@link SequenceFile}s.,,,,,,,,,,,,,* An {@link RecordReader} for {@link SequenceFile}s.,,,,,,,,,
E2,,E3 (agree),,TestOMVolumeRequest.java,* Base test class for Volume request.,1-3,Base test class for Volume request,,Base test class for Volume request,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,TestSequenceFile.java,Support for flat files of binary key/value pairs.,1-3,Support for flat files of binary key/value pairs,Support for flat files of binary key/value pairs,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,ITestListPerformance.java,* Test list performance.,1-3,Test list performance,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,RegistryOperations.java,* Registry Operations,1-3,Registry Operations,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,LocatedFileStatus.java,* This class defines a FileStatus that includes a file's block locations.,1-3,This class defines a FileStatus that includes a file's block locations,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,IDataLoader.java,* an IDataLoader loads data on demand,1-3,an IDataLoader loads data on demand,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,PartitionResourcesInfo.java,* This class represents queue/user resource usage info for a given partition,1-3,This class represents queue/user resource usage info for a given partition,,This class represents queue/user resource usage info for a given partition,,,,,,,,,,,,,,,,,,,,
E2,,E3 (disagree),,Nfs3Status.java,* Success or error status is reported in NFS3 responses.,1-3,* Success or error status is reported in NFS3 responses.,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,NativeBatchProcessor.java,"* used to create channel, transfer data and command between Java and native",1-3,,,"used to create channel, transfer data and command between Java and native",,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,FederationPolicyException.java,* Generic policy exception.,1-3,Generic policy exception,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,CpuTimeTracker.java,* Utility for sampling and computing CPU usage.,1-3,Utility for sampling and computing CPU usage,,Utility for sampling and computing CPU usage,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,ITestAzureNativeContractSeek.java,* Contract test.,1-3,Contract test,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,Abfss.java,"* Azure Blob File System implementation of AbstractFileSystem.
* This impl delegates to the old FileSystem",4-4,Azure Blob File System implementation of AbstractFileSystem.,This impl delegates to the old FileSystem,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,ContainerFinishData.java,"* The class contains the fields that can be determined when
* <code>RMContainer</code> finishes, and that need to be stored persistently.",4-4,"The class contains the fields that can be determined when * <code>RMContainer</code> finishes, and that need to be stored persistently.",,"The class contains the fields that can be determined when * <code>RMContainer</code> finishes, and that need to be stored persistently.",,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestRollingFileSystemSinkWithLocal.java,"* Test the {@link RollingFileSystemSink} class in the context of the local file
* system.",4-4,Test the {@link RollingFileSystemSink} class in the context of the local file * system.,,,,,,,,,,,,,Test the {@link RollingFileSystemSink} class in the context of the local file * system.,,,,,,,,,
E4,E1 (agree),,,TestTopCLI.java,"* Test class for TopCli.
*",4-4,Test class for TopCli.,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,PlanningQuotaException.java,"* This exception is thrown if the user quota is exceed while accepting or
* updating a reservation.",4-4,This exception is thrown if the user quota is exceed while accepting or * updating a reservation.,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestConfServlet.java,"* Basic test case that the ConfServlet can write configuration
* to its output in XML and JSON format.",4-4,Basic test case that the ConfServlet can write configuration * to its output in XML and JSON format.,Basic test case that the ConfServlet can write configuration * to its output in XML and JSON format.,,,,,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,SwiftBadRequestException.java,"* Thrown to indicate that data locality can't be calculated or requested path is incorrect.
* Data locality can't be calculated if Openstack Swift version is old.",4-4,Thrown to indicate that data locality can't be calculated or requested path is incorrect.,,,Data locality can't be calculated if Openstack Swift version is old.,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,ByteArrayEncodingState.java,"* A utility class that maintains encoding state during an encode call using
* byte array inputs.",4-4,A utility class that maintains encoding state during an encode call using * byte array inputs.,A utility class that maintains encoding state during an encode call using * byte array inputs.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestTaskContext.java,* Tests context api and {@link StatusReporter#getProgress()} via * {@link TaskAttemptContext#getProgress()} API .,4-4,Tests context api and {@link StatusReporter#getProgress()} via * {@link TaskAttemptContext#getProgress()} API .,,,,,,,,,,,,,Tests context api and {@link StatusReporter#getProgress()} via * {@link TaskAttemptContext#getProgress()} API .,,,,,,,,,
E4,,E3 (agree),,ITestS3Select.java,"* Test the S3 Select feature with some basic SQL Commands.
* Executed if the destination store declares its support for the feature.",4-4,Test the S3 Select feature with some basic SQL Commands.,Executed if the destination store declares its support for the feature.,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestDominantResourceFairnessPolicy.java,"* comparator.compare(sched1, sched2) < 0 means that sched1 should get a
* container before sched2",4-4,,"comparator.compare(sched1, sched2) < 0 means that sched1 should get a * container before sched2",,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,Nfs3Metrics.java,"* This class is for maintaining the various NFS gateway activity statistics and
* publishing them through the metrics interfaces.",4-4,This class is for maintaining the various NFS gateway activity statistics and * publishing them through the metrics interfaces.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,RetriableDirectoryCreateCommand.java,"* This class extends Retriable command to implement the creation of directories
* with retries on failure.",4-4,This class extends Retriable command to implement the creation of directories * with retries on failure.,,,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,GetSubClusterPolicyConfigurationRequestPBImpl.java,"* Protocol buffer based implementation of
* {@link GetSubClusterPolicyConfigurationRequest}.",4-4,Protocol buffer based implementation of * {@link GetSubClusterPolicyConfigurationRequest}.,,,,,,,,,,,,,Protocol buffer based implementation of * {@link GetSubClusterPolicyConfigurationRequest}.,,,,,,,,,
E4,,E3 (agree),,ITestS3SelectCLI.java,"* Test the S3 Select CLI through some operations against landsat
* and files generated from it.",4-4,Test the S3 Select CLI through some operations against landsat * and files generated from it.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,Expression.java,"* Interface describing an expression to be used in the
* {@link org.apache.hadoop.fs.shell.find.Find} command.",4-4,Interface describing an expression to be used in the * {@link org.apache.hadoop.fs.shell.find.Find} command.,,to be used in the * {@link org.apache.hadoop.fs.shell.find.Find} command.,,,,,,,,,,,to be used in the * {@link org.apache.hadoop.fs.shell.find.Find} command.,,,,,,,,,
E2,E1 (disagree),,,DFSConfigKeys.java,"* This class contains constants for configuration keys and default values
* used in hdfs.",4-4,This class contains constants for configuration keys and default values used in hdfs.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,AbstractTFLaunchCommandTestHelper.java,"* This class is an abstract base class for testing Tensorboard and TensorFlow
* launch commands.",4-4,This class is an abstract base class for testing Tensorboard and TensorFlow and launch commands.,,This class is an abstract base class for testing Tensorboard and TensorFlow and launch commands.,,,,,,,,,,,,,,,,,,,,
E2,E1 (disagree),,,DeleteApplicationHomeSubClusterRequest.java,"* The request to <code>Federation state store</code> to delete the mapping of
* home subcluster of a submitted application.",4-4,The request to <code>Federation state store</code> to delete the mapping of * home subcluster of a submitted application.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,PartialOutputCommitter.java,"* Interface for an {@link org.apache.hadoop.mapreduce.OutputCommitter}
* implementing partial commit of task output, as during preemption.",4-4,"* Interface for an {@link org.apache.hadoop.mapreduce.OutputCommitter} * implementing partial commit of task output, as during preemption.",,,,,,,,,,,,,Interface for an {@link org.apache.hadoop.mapreduce.OutputCommitter},,,,,,,,,
E2,E1 (agree),,,NodeUpdateType.java,"* <p>Taxonomy of the <code>NodeState</code> that a
* <code>Node</code> might transition into.</p>
*",4-4,<p>Taxonomy of the <code>NodeState</code> that a * <code>Node</code> might transition into.</p>,<p>Taxonomy of the <code>NodeState</code> that a * <code>Node</code> might transition into.</p>,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,BlockPlacementStatusWithNodeGroup.java,"* An implementation of @see BlockPlacementStatus for
* @see BlockPlacementPolicyWithNodeGroup",4-4,An implementation of @see BlockPlacementStatus,,for * @see BlockPlacementPolicyWithNodeGroup,,,,,,,,,,,for * @see BlockPlacementPolicyWithNodeGroup,,,,,,,,,
E2,E1 (agree),,,AutoInputFormat.java,"* An {@link InputFormat} that tries to deduce the types of the input files
* automatically. It can currently handle text and sequence files.",4-4,An {@link InputFormat} that tries to deduce the types of the input files * automatically.,It can currently handle text and sequence files.,,,,,,,,,,,,An {@link InputFormat} that tries to deduce the types of the input files * automatically.,,,,,,,,,
E2,,E3 (agree),,GetSafeModeRequestPBImpl.java,"* Protobuf implementation of the state store API object
* GetSafeModeRequest.",4-4,Protobuf implementation of the state store API object * GetSafeModeRequest.,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,TestConnCache.java,"* This class tests the client connection caching in a single node
* mini-cluster.",4-4,This class tests the client connection,caching in a single node * mini-cluster.,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,Node2ObjectsMap.java,"* This data structure maintains the list of containers that is on a datanode.
* This information is built from the DN container reports.",4-4,This data structure maintains the list of containers that is on a datanode.,This information is built from the DN container reports.,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,DFSConfigKeys.java,"* This class contains constants for configuration keys and default values
* used in hdfs.",4-4,This class contains constants for configuration keys and default values used in hdfs.,,This class contains constants for configuration keys and default values used in hdfs.,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,ApplicationStateData.java,* Contains all the state data that needs to be stored persistently * for an Application,4-4,Contains all the state data that needs to be stored persistently * for an Application,,needs to be stored persistently * for an Application,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,GetApplicationHomeSubClusterResponsePBImpl.java,"* Protocol buffer based implementation of
* {@link GetApplicationHomeSubClusterResponse}.",4-4,Protocol buffer based implementation of * {@link GetApplicationHomeSubClusterResponse}.,,,,,,,,,,,,,Protocol buffer based implementation of * {@link GetApplicationHomeSubClusterResponse}.,,,,,,,,,
E2,,E3 (agree),,InvalidContainerRequestException.java,"* Thrown when an arguments are combined to construct a
* <code>AMRMClient.ContainerRequest</code> in an invalid way.",4-4,* Thrown when an arguments are combined to construct a * <code>AMRMClient.ContainerRequest</code> in an invalid way.,,,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,FederationProtocolPBTranslator.java,"* Helper class for setting/getting data elements in an object backed by a
* protobuf implementation.",4-4,Helper class for setting/getting data elements in an object backed by a * protobuf implementation.,,for setting/getting data elements in an object backed by a * protobuf implementation.,,,* Thrown when an arguments are combined to construct a * <code>AMRMClient.ContainerRequest</code> in an invalid way.,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,StateStoreFileSystemImpl.java,"* {@link StateStoreDriver} implementation based on a filesystem. The common
* implementation uses HDFS as a backend. The path can be specified setting
* dfs.federation.router.driver.fs.path=hdfs://host:port/path/to/store.",5-7,* {@link StateStoreDriver} implementation based on a filesystem.,The common * implementation uses HDFS as a backend.,,,The path can be specified setting * dfs.federation.router.driver.fs.path=hdfs://host:port/path/to/store.,,,,,,,,,* {@link StateStoreDriver} implementation based on a filesystem.,,,,,,,,,
E4,E1 (agree),,,RandomKeyGenerator.java,"* Data generator tool to generate as much keys as possible.
|
* Wrapper to hold ozone keyValidate entry.
|
* Validates the write done in ozone cluster.",5-7,Data generator tool to generate as much keys as possible.,"Wrapper to hold ozone keyValidate entry.
|
* Validates the write done in ozone cluster.",,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,ShellBasedUnixGroupsMapping.java,"* A simple shell-based implementation of {@link GroupMappingServiceProvider} * that exec's the <code>groups</code> shell command to fetch the group
* memberships of a given user.",5-7,A simple shell-based implementation of {@link GroupMappingServiceProvider},that exec's the <code>groups</code> shell command to fetch the group * memberships of a given user.,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,ITestCommitOperations.java,"* Test the low-level binding of the S3A FS to the magic commit mechanism,
* and handling of the commit operations.
* This is done with an inconsistent client.",5-7,"* Test the low-level binding of the S3A FS to the magic commit mechanism, * and handling of the commit operations.",,,,This is done with an inconsistent client.,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestNativeAzureFileSystemUploadLogic.java,"* Tests for the upload, buffering and flush logic in WASB.
| Just an arbitrary number so that the values I write have a predictable|
* Various scenarios to test in how often we flush data while uploading.",5-7,"Tests for the upload, buffering and flush logic in WASB.",| Just an arbitrary number so that the values I write have a predictable|,* Various scenarios to test in how often we flush data while uploading.,,,,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,ITestAbfsReadWriteAndSeek.java,"* Test read, write and seek.
* Uses package-private methods in AbfsConfiguration, which is why it is in
* this package.",5-7,"Test read, write and seek.",,"Uses package-private methods in AbfsConfiguration, which is why it is in * this package.",,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestProtoBufRpc.java,"* Test for testing protocol buffer based RPC mechanism.
* This test depends on test.proto definition of types in src/test/proto
* and protobuf service definition from src/test/test_rpc_service.proto",5-7,Test for testing protocol buffer based RPC mechanism.,"This test depends on test.proto definition of types in src/test/proto
* and protobuf service definition from src/test/test_rpc_service.proto",,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,NativeSingleLineParser.java,"* This sample parser will parse the sample log and extract the resource
* skyline.
* <p> The expected log format is: NormalizedJobName NumInstances SubmitTime
* StartTime EndTime JobInstanceName memUsage coreUsage",5-7,"This sample parser will parse the sample log and extract the resource
* skyline.","<p> The expected log format is: NormalizedJobName NumInstances SubmitTime
* StartTime EndTime JobInstanceName memUsage coreUsage",,,,,,,,,,,,,,,,,,,,,
E4,,E3 (disagree),,ErasureCodingPolicyManager.java,"* This manages erasure coding policies predefined and activated in the system.
* It loads customized policies and syncs with persisted ones in
* NameNode image.
*
* This class is instantiated by the FSNamesystem.",5-7,This manages erasure coding policies predefined and activated in the system,"It loads customized policies and syncs with persisted ones in
* NameNode image.",,,This class is instantiated by the FSNamesystem.,,,,,,,,,* This class is instantiated by the FSNamesystem.,,,,,,,,,
E4,,E3 (disagree),,OMNodeDetails.java,"* This class stores OM node details.
|
* Builder class for OMNodeDetails.",5-7,"* This class stores OM node details.
|
* Builder class for OMNodeDetails.",,,,,,,,,,,,,* Builder class for OMNodeDetails.,,,,,,,,,
E4,,E3 (agree),,YarnAuthorizationProvider.java,"* An implementation of the interface will provide authorization related
* information and enforce permission check. It is excepted that any of the
* methods defined in this interface should be non-blocking call and should not
* involve expensive computation as these method could be invoked in RPC.",5-7,"An implementation of the interface will provide authorization related
* information and enforce permission check.","It is excepted that any of the
* methods defined in this interface should be non-blocking call and should not
* involve expensive computation as these method could be invoked in RPC.","It is excepted that any of the
* methods defined in this interface should be non-blocking call and should not
* involve expensive computation as these method could be invoked in RPC.",,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,BatchedRequests.java,"* A grouping of Scheduling Requests which are sent to the PlacementAlgorithm
* to place as a batch. The placement algorithm tends to give more optimal
* placements if more requests are batched together.
| PlacementAlgorithmOutput attempt - the number of times the requests in this|
* Iterator Type.",5-7,"A grouping of Scheduling Requests which are sent to the PlacementAlgorithm
* to place as a batch
Iterator Type.","The placement algorithm tends to give more optimal
* placements if more requests are batched together.",,,| PlacementAlgorithmOutput attempt - the number of times the requests in this|,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,InconsistentS3ClientFactory.java,"* S3 Client factory used for testing with eventual consistency fault injection.
* This client is for testing <i>only</i>; it is in the production
* {@code hadoop-aws} module to enable integration tests to use this
* just by editing the Hadoop configuration used to bring up the client.",5-7,S3 Client factory used for testing with eventual consistency fault injection.,,,,"This client is for testing <i>only</i>; it is in the production
* {@code hadoop-aws} module to enable integration tests to use this
* just by editing the Hadoop configuration used to bring up the client.",,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,UniformSizeInputFormat.java,"* UniformSizeInputFormat extends the InputFormat class, to produce
* input-splits for DistCp.
* It looks at the copy-listing and groups the contents into input-splits such
* that the total-number of bytes to be copied for each input split is
* uniform.",5-7,"UniformSizeInputFormat extends the InputFormat class, to produce
* input-splits for DistCp.","It looks at the copy-listing and groups the contents into input-splits such
* that the total-number of bytes to be copied for each input split is
* uniform.",,,,,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,BlocksMap.java,"* This class maintains the map from a block to its metadata.
* block's metadata currently includes blockCollection it belongs to and
* the datanodes that store the block.",5-7,This class maintains the map from a block to its metadata.,"block's metadata currently includes blockCollection it belongs to and
* the datanodes that store the block.",,,,,,,,,,,,,,,,,,,,,
E4,,E3 (disagree),,SafeModeException.java,"* This exception is thrown when the name node is in safe mode.
* Client cannot modified namespace until the safe mode is off.
*",5-7,,,,,Client cannot modified namespace until the safe mode is off.,* This exception is thrown when the name node is in safe mode.,,,,,,,,,,,,,* Client cannot modified namespace until the safe mode is off.,,,,
E2,E1 (agree),,,SchedulerQueueManager.java,"*
* Context of the Queues in Scheduler.
*",5-7,Context of the Queues in Scheduler.,,,,,,,,,,,,,,,,,,,,,,
E2,E1 (disagree),,,MetricsCache.java,"* A metrics cache for sinks that don't support sparse updates.
|
* Cached record",5-7,A metrics cache for sinks that don't support sparse updates. Context of the Queues in Scheduler.,Cached record,,,,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TypedEvent.java,"* Basic event implementation to implement custom events.
*
* @param <T>",5-7,Basic event implementation,,to implement custom events.,,@param <T>,,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,TestCustomOauthTokenProvider.java,"* Test custom OAuth token providers.
* This is a unit test not an E2E integration test because that would
* require OAuth auth setup, always.
* Instead this just checks that the creation works and that everything
* is propagated.",5-7,Test custom OAuth token providers.,"Instead this just checks that the creation works and that everything
* is propagated.","This is a unit test not an E2E integration test because that would * require OAuth auth setup, always.",,,,,,,,,,,,,,,,,,,,
