Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,warnings,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explanation,Observation
E2,,E3 (agree),,InspectedValidator,Metaclass for all validators ,1,Metaclass for all validators ,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,InvalidDateError,A date field was improperly specified.,1,A date field was improperly specified.,,,,,,,,,,,,,,,,,
E2,,E4 (disagree),,InvalidHeaderError,Exception for invalid headers.,1,Exception for invalid headers.,,,,,,,,,,,,,,,,,
E2,,E4 (disagree),,InvalidVersion,"An invalid version was found, users should refer to PEP 440.",1,"An invalid version was found, ",users should refer to PEP 440.,,,,,,,,,,users should refer to PEP 440.,,,,,,
E2,E1 (agree),,,Kanji,Unicode set for Kanji Unicode Character Range,1,Unicode set for Kanji Unicode Character Range,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,Katakana,Unicode set for Katakana  Unicode Character Range,1,Unicode set for Katakana  Unicode Character Range,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,MemoizedZipManifests,Memoized zipfile manifests.,1,Memoized zipfile manifests.,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,MetadataMissingError,A required metadata is missing,1,A required metadata is missing,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,Module_six_moves_urllib_parse,Lazy loading of moved objects in six.moves.urllib_parse,1,Lazy loading of moved objects in six.moves.urllib_parse,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,Module_six_moves_urllib_request,Lazy loading of moved objects in six.moves.urllib_request,1,Lazy loading of moved objects in six.moves.urllib_request,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,Module_six_moves_urllib_response,Lazy loading of moved objects in six.moves.urllib_response,1,Lazy loading of moved objects in six.moves.urllib_response,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,Mul,Multiplies the left with the right node.,1,Multiplies the left with the right node.,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,NativeEnvironment,An environment that renders templates to native Python types.,1,An environment that renders templates to native Python types.,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,Node,Represents an item in the tree,1,Represents an item in the tree,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,ParserElement,Abstract base level parser element class.,1,Abstract base level parser element class.,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ParseResultBytes,Compatibility shim for the urlparse.ParseResultBytes object.,1,Compatibility shim for the urlparse.ParseResultBytes object.,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ProcessedTraceback,Holds a Jinja preprocessed traceback for printing or reraising.,1,Holds a Jinja preprocessed traceback for printing or reraising.,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ReadError,Raised when an archive cannot be read,1,Raised when an archive cannot be read,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,RequirementsFileParseError,Raised when a general error occurs parsing a requirements file line.,1,Raised when a general error occurs parsing a requirements file line.,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,ResourceFinder,Resource finder for file system resources.,1,Resource finder for file system resources.,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,HashMissing,A hash was needed for a requirement but is absent.,1,A hash was needed for a requirement but is absent.,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,ResourceManager,Manage resource extraction and packages,1,Manage resource extraction and packages,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,ResponseError,Used as a container for an error reason supplied in a MaxRetryError.,1,,Used as a container for an error reason supplied in a MaxRetryError.,,,,,,,,,,,,,,,,
E1,,E4 (agree),,PipError,Base pip exception,1,Base pip exception,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ResponseNotChunked,Response needs to be chunked in order to read it as chunks.,1,,Response needs to be chunked in order to read it as chunks.,,,,,,,,,,,,,,,,
E1,E2 (agree),,,Token,Token class.,1,Token class.,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,Trie,Abstract base class for tries,1,Abstract base class for tries,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,ZipResourceFinder,Resource finder for resources in .zip files.,1,Resource finder for resources in .zip files.,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,_PathParents,"This object provides sequence-like access to the logical ancestors
of a path.  Don't try to construct it yourself.",2,"This object provides sequence-like access to the logical ancestors
of a path.",,,,,,,,,,  Don't try to construct it yourself.,,,,,,,
E3,,E4 (agree),,BaseCommand,A CLI command.,2,A CLI command.,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,CallBlock,"
Like a macro without a name but a call instead.  `call` is called with
the unnamed macro as `caller` argument this node holds.",2,,," `call` is called with
the unnamed macro as `caller` argument this node holds.",,,Like a macro without a name but a call instead. ,,,,,,,,,,,,
E3,E2 (agree),,,CookieConflictError,"
There are two cookies that meet the criteria specified in the cookie jar.
Use .get and .set and include domain and path args in order to be more specific.",2,There are two cookies that meet the criteria specified in the cookie jar.,,,,,Use .get and .set and include domain and path args in order to be more specific.,,,,,,Use .get and .set and include domain and path args in order to be more specific.,,,,,,
E2,E1 (agree),,,DependencyWarning,"Warned when an attempt is made to import a module with missing optional
dependencies.",2,Warned when an attempt is made to import a module with missing optional dependencies.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,DirectedGraph,A graph structure with directed edges.,2,A graph structure with directed edges.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,DocumentErrorTree,"Implements a dict-like class to query errors by indexes following the
structure of a validated document. ",2,Implements a dict-like class to query errors ,,,by indexes following the structure of a validated document.,,,,,,,,,,,,,,
E2,,E4 (disagree),,EOF,"Raised when EOF is read from a child.
This usually means the child has exited.",2,This usually means the child has exited.,,,,,,,"Raised when EOF is read from a child.
",,,,,,,,,,
E2,,E4 (agree),,ExceptionPexpect,Base class for all exceptions raised by this module.,2,Base class for all exceptions raised by this module.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,FakeFile,"Wrap a list of lines in an object with readline() to make
ConfigParser happy.",2,Wrap a list of lines in an object ,,,with readline() to make ConfigParser happy.,,,,,,,,,,,,,,
E4,E2 (agree),,,Getattr,"Get an attribute or item from an expression that is a ascii-only
bytestring and prefer the attribute.",2,,"Get an attribute or item from an expression that is a ascii-only
bytestring and prefer the attribute.",,,,,"Get an attribute or item from an expression that is a ascii-only
bytestring and prefer the attribute.",,,,,,,,,,,
E4,E1 (agree),,,NoMatch,A token that will never match.,2,A token that will never match.,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,PackageIndex,Represents a Package Index and provides easier access to endpoints,2,Represents a Package Index and provides easier access to endpoints,,,,,,,,,,,,,,,,,
E4,,E3 (disagree),,ParseFatalException,"user-throwable exception thrown when inconsistent parse content
is found; stops all parsing immediately",2,,,,,,"user-throwable exception thrown when inconsistent parse content
is found; stops all parsing immediately",,"user-throwable exception thrown when inconsistent parse content
is found; stops all parsing immediately",,,,,,"user-throwable exception thrown when inconsistent parse content
is found; ",,,,
E4,,E3 (agree),,RequestException,"There was an ambiguous exception that occurred while handling your
request.",2,,,,,,,,"There was an ambiguous exception that occurred while handling your
request.",,,,,,,,,,
E4,E2 (agree),,,RequiresPythonCache,Cache a candidate's Requires-Python information.,2,Cache a candidate's Requires-Python information.,,,,,,,Cache a candidate's Requires-Python information.,,,,,,,,,,
E1,,E3 (agree),,SchemaValidatorMixin,"
This validator mixin provides mechanics to validate schemas passed to a Cerberus
validator. ",2,"
This validator mixin provides mechanics to validate schemas passed to a Cerberus
validator. ",,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TarFile,The TarFile Class provides an interface to tar archives.,2,The TarFile Class provides an interface to tar archives.,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,TokenStreamIterator,"
The iterator for tokenstreams.  Iterate over the stream
until the eof token is reached.",2,The iterator for tokenstreams.,,,"Iterate over the stream
until the eof token is reached.",,,,,,,,,,,,,,
E1,,E4 (agree),,UndefinedEnvironmentName,"A name was attempted to be used that does not exist inside of the
environment.",2,"A name was attempted to be used that does not exist inside of the
environment.",,,,,,,,,,,,,,,,,
E1,E2 (agree),,,SafeFileCache,"A file based cache which is safe to use even when the target directory may
not be accessible or writable.",2,"A file based cache which is safe to use even when the target directory may
not be accessible or writable.",,,,,,,,,,,,,,,,,
E1,E2 (agree),,,PyPIJSONLocator,"This locator uses PyPI''s JSON interface. It''s very limited in functionality
and probably not worth using.",2,,,,This locator uses PyPI''s JSON interface.,,,,,,,"It''s very limited in functionality
and probably not worth using.",,,,,,,
E3,E2 (agree),,,_FileInFile,"
A thin wrapper around an existing file object that
provides a part of its data as an individual file
object.",3,"A thin wrapper around an existing file object that
provides a part of its data as an individual file
object.",,,,,,,,,,,,,,,,,
E3,E1 (agree),,,RequirementUninstaller,"
A context manager to remove a package for the inner block.

This uses `UninstallPathSet` to control the workflow. If the inner block
exits correctly, the uninstallation is committed, otherwise rolled back.",4,"
A context manager to remove a package for the inner block.",,,"
This uses `UninstallPathSet` to control the workflow. If the inner block
exits correctly, the uninstallation is committed, otherwise rolled back.",,,,,,,,,,,,,,
E3,E1 (agree),,,InternalName,"
An internal name in the compiler.  You cannot create these nodes
yourself but the parser provides a
:meth:`~jinja2.parser.Parser.free_identifier` method that creates
a new identifier for you.  This identifier is not available from the
template and is not threated specially by the compiler.",5,An internal name in the compiler,,,,," You cannot create these nodes
yourself but the parser provides a
:meth:`~jinja2.parser.Parser.free_identifier` method that creates
a new identifier for you.  This identifier is not available from the
template and is not threated specially by the compiler.",,,,," You cannot create these nodes
yourself but the parser provides a
:meth:`~jinja2.parser.Parser.free_identifier` method that creates
a new identifier for you.  This identifier is not available from the
template and is not threated specially by the compiler.",,,,,,,
E3,,E4 (agree),,LRUCache,"
A simple LRU Cache implementation.
this is fast for small capacities (something below 1000) but doesn't
    scale.  But as long as it's only used as storage for templates this
    won't do any harm.",5,A simple LRU Cache implementation.,,,,,"this is fast for small capacities (something below 1000) but doesn't
    scale.  But as long as it's only used as storage for templates this
    won't do any harm.",,,,,"this is fast for small capacities (something below 1000) but doesn't
    scale.  But as long as it's only used as storage for templates this
    won't do any harm.",,,,,,,
E3,,E4 (agree),,_BZ2Proxy,"
Small proxy class that enables external file object
support for ""r:bz2"" and ""w:bz2"" modes. This is actually
a workaround for a limitation in bz2 module's BZ2File
class which (unlike gzip.GzipFile) has no support for
a file object argument.",5,"Small proxy class that enables external file object
support for ""r:bz2"" and ""w:bz2"" modes.",,,,,"This is actually
a workaround for a limitation in bz2 module's BZ2File
class which (unlike gzip.GzipFile) has no support for
a file object argument.",,,,,"This is actually
a workaround for a limitation in bz2 module's BZ2File
class which (unlike gzip.GzipFile) has no support for
a file object argument.",,,,,,,
E2,E1 (agree),,,Bucket,"
Buckets are used to store the bytecode for one template.  It's created
and initialized by the bytecode cache and passed to the loading functions.

The buckets get an internal checksum from the cache assigned and use this
to automatically reject outdated cache material.  Individual bytecode
cache subclasses don't have to care about cache invalidation.",6,"
Buckets are used to store the bytecode for one template.  It's created
and initialized by the bytecode cache and passed to the loading functions.

",,,"The buckets get an internal checksum from the cache assigned and use this
to automatically reject outdated cache material. ",,,,,,,,,,,,,Individual bytecode cache subclasses don't have to care about cache invalidation.,
E2,,E3 (agree),,fdspawn,"This is like pexpect.spawn but allows you to supply your own open file
descriptor. For example, you could use it to read through a file looking
for patterns, or to control a modem or serial device. ",3,"This is like pexpect.spawn but allows you to supply your own open file
descriptor. ","For example, you could use it to read through a file looking
for patterns, or to control a modem or serial device. ",,,,,,,,,,,,,,,,
E2,,E3 (agree),,ParseError,"
This error occurs when the parser encounters a syntax error
in the TOML being parsed. The error references the line and
location within the line where the error was encountered.",3,"
This error occurs when the parser encounters a syntax error
in the TOML being parsed. ",,,The error references the line and location within the line where the error was encountered.,,,,,,,,,,,,,,
E2,,E4 (agree),,DataViewSequence,"
A sequence of data views.

Each entry is an instance of `item_class`.",3,"
A sequence of data views.
",,"
Each entry is an instance of `item_class`.",,,,,,,,,,,,,,,
E2,,E4 (agree),,HTMLParser,"
HTML parser

Generates a tree structure from a stream of (possibly malformed) HTML.",3,"
HTML parser

Generates a tree structure from a stream of (possibly malformed) HTML.",,,,,,,,,,,,,,,,,
E4,E2 (agree),,,Resource,"
A class representing an in-package resource, such as a data file. This is
not normally instantiated by user code, but rather by a
:class:`ResourceFinder` which manages the resource.",3,"A class representing an in-package resource, such as a data file.",,,,,"This is
not normally instantiated by user code, but rather by a
:class:`ResourceFinder` which manages the resource.",,,,,,,,,,,,
E4,E1 (disagree),,,Distribution,"
A base class for distributions, whether installed or from indexes.
Either way, it must have some metadata, so that's all that's needed
for construction.",3,"A base class for distributions, whether installed or from indexes.","Either way, it must have some metadata, so that's all that's needed
for construction.",,,,,,,,,,,,,,,,
E4,E1 (agree),,,ParseSyntaxException,"
just like :class:`ParseFatalException`, but thrown internally
when an :class:`ErrorStop<And._ErrorStop>` ('-' operator) indicates
that parsing is to stop immediately because an unbacktrackable
syntax error has been found.",4,,,,,,,,"just like :class:`ParseFatalException`, but thrown internally
when an :class:`ErrorStop<And._ErrorStop>` ('-' operator) indicates
that parsing is to stop immediately because an unbacktrackable
syntax error has been found.",,,,,,,,,,
E4,,E3 (disagree),,KeyType,"
The type of a Key.

Keys can be bare (unquoted), or quoted using basic (""), or literal (')
quotes following the same escaping rules as single-line StringType.",4,The type of a Key.,,"Keys can be bare (unquoted), or quoted using basic (""), or literal (')
quotes following the same escaping rules as single-line StringType.","Keys can be bare (unquoted), or quoted using basic (""), or literal (')
quotes following the same escaping rules as single-line StringType.",,,,,,,,,,,,,,
E4,,E3 (agree),,InstalledDistribution,"
Created with the *path* of the ``.dist-info`` directory provided to the
constructor. It reads the metadata contained in ``pydist.json`` when it is
instantiated., or uses a passed in Metadata instance (useful for when
dry-run mode is being used).",4,,"It reads the metadata contained in ``pydist.json`` when it is
instantiated., or uses a passed in Metadata instance (useful for when
dry-run mode is being used).",,,,Created with the *path* of the ``.dist-info`` directory provided to the constructor.,,,,,,,,,,,,
E1,,E3 (agree),,Argument,"
Arguments are positional parameters to a command.  They generally
provide fewer features than options but can have infinite ``nargs``
and are required by default.

All parameters are passed onwards to the parameter constructor.",5,Arguments are positional parameters to a command.,"They generally
provide fewer features than options but can have infinite ``nargs``
and are required by default.",,All parameters are passed onwards to the parameter constructor,,,,,,,,,,,,,,
E1,,E3 (agree),,TreeBuilder,"
Base treebuilder implementation

* documentClass - the class to use for the bottommost node of a document
* elementClass - the class to use for HTML Elements
* commentClass - the class to use for comments
* doctypeClass - the class to use for doctypes",6,Base treebuilder implementation,"* documentClass - the class to use for the bottommost node of a document
* elementClass - the class to use for HTML Elements
* commentClass - the class to use for comments
* doctypeClass - the class to use for doctypes",,,,,,,,,,,,,,,,
E1,E2 (agree with E4),E4 (disagree),,PacifyFlushWrapper,"
This wrapper is used to catch and suppress BrokenPipeErrors resulting
from ``.flush()`` being called on broken pipe during the shutdown/final-GC
of the Python interpreter. Notably ``.flush()`` is always called on
``sys.stdout`` and ``sys.stderr``. So as to have minimal impact on any
other cleanup code, and the case where the underlying file is not a broken
pipe, all calls and attributes are proxied.",6,"This wrapper is used to catch and suppress BrokenPipeErrors resulting
from ``.flush()`` being called on broken pipe during the shutdown/final-GC
of the Python interpreter.",,,"This wrapper is used to catch and suppress BrokenPipeErrors resulting
from ``.flush()`` being called on broken pipe during the shutdown/final-GC
of the Python interpreter.


Notably ``.flush()`` is always called on
``sys.stdout`` and ``sys.stderr``. So as to have minimal impact on any
other cleanup code, and the case where the underlying file is not a broken
pipe, all calls and attributes are proxied.",,,,,,,,,,,,,,
E1,,E4 (agree),,NotMyLock,"
Raised when an attempt is made to unlock a file someone else locked.

>>> try:
...   raise NotMyLock
... except UnlockError:
...   Pass",6,"Raised when an attempt is made to unlock a file someone else locked.
",">>> try:
...   raise NotMyLock
... except UnlockError:
...   Pass",,,,,,,,,,,,,,,,
E1,E2 (agree),,,LockFailed,"
Lock file creation failed for some other reason.

>>> try:
...   raise LockFailed
... except LockError:
...   Pass",6,"Lock file creation failed for some other reason.
",">>> try:
...   raise LockFailed
... except LockError:
...   Pass",,,,,,,,,,,,,,,,
E3,E2 (disagree),,,UnlockError,"
Base class for errors arising from attempts to release the lock.

>>> try:
...   raise UnlockError
... except Error:
...   Pass",6,Base class for errors arising from attempts to release the lock.,">>> try:
...   raise UnlockError
... except Error:
...   Pass",,,,,,,,,,,,,,,,
E3,E2 (agree),,,PrefixLoader,"
A loader that is passed a dict of loaders where each loader is bound
to a prefix.  The prefix is delimited from the template by a slash per
default, which can be changed by setting the `delimiter` argument to
something else::

    loader = PrefixLoader({
        'app1':     PackageLoader('mypackage.app1'),
        'app2':     PackageLoader('mypackage.app2')
    })

By loading ``'app1/index.html'`` the file from the app1 package is loaded,
by loading ``'app2/index.html'`` the file from the second.",12,"
A loader that is passed a dict of loaders where each loader is bound
to a prefix."," The prefix is delimited from the template by a slash per
default, which can be changed by setting the `delimiter` argument to
something else::

    loader = PrefixLoader({
        'app1':     PackageLoader('mypackage.app1'),
        'app2':     PackageLoader('mypackage.app2')
    })

By loading ``'app1/index.html'`` the file from the app1 package is loaded,
by loading ``'app2/index.html'`` the file from the second.",," The prefix is delimited from the template by a slash per
default, which can be changed by setting the `delimiter` argument to
something else::",,,,,,,,,,,,,,
E3,E1 (agree),,,And,"
Requires all given :class:`ParseExpression` s to be found in the given order.
Expressions may be separated by whitespace.
May be constructed using the ``'+'`` operator.
May also be constructed using the ``'-'`` operator, which will
suppress backtracking.

Example::

    integer = Word(nums)
    name_expr = OneOrMore(Word(alphas))

    expr = And([integer(""id""),name_expr(""name""),integer(""age"")])
    # more easily written as:
    expr = integer(""id"") + name_expr(""name"") + integer(""age"")",14,,"Example::

    integer = Word(nums)
    name_expr = OneOrMore(Word(alphas))

    expr = And([integer(""id""),name_expr(""name""),integer(""age"")])
    # more easily written as:
    expr = integer(""id"") + name_expr(""name"") + integer(""age"")",,"Expressions may be separated by whitespace.
May be constructed using the ``'+'`` operator.
May also be constructed using the ``'-'`` operator, which will
suppress backtracking.",,"Requires all given :class:`ParseExpression` s to be found in the given order.
Expressions may be separated by whitespace.
May be constructed using the ``'+'`` operator.
May also be constructed using the ``'-'`` operator, which will
suppress backtracking.",,,,,,,,"Requires all given :class:`ParseExpression` s to be found in the given order.
Expressions may be separated by whitespace.
May be constructed using the ``'+'`` operator.
May also be constructed using the ``'-'`` operator, which will
suppress backtracking.
",,,,
E2,E1 (agree),,,FileMetadata,"
Metadata handler for standalone PKG-INFO files

Usage::

    metadata = FileMetadata(""/path/to/PKG-INFO"")

This provider rejects all data and metadata requests except for PKG-INFO,
which is treated as existing, and will be the contents of the file at
the provided location.
Metadata handler for standalone PKG-INFO files

Usage::

    metadata = FileMetadata(""/path/to/PKG-INFO"")

This provider rejects all data and metadata requests except for PKG-INFO,
which is treated as existing, and will be the contents of the file at
the provided location.",9,"Metadata handler for standalone PKG-INFO files
","
Usage::

    metadata = FileMetadata(""/path/to/PKG-INFO"")
Usage::

    metadata = FileMetadata(""/path/to/PKG-INFO"")",,"
This provider rejects all data and metadata requests except for PKG-INFO,
which is treated as existing, and will be the contents of the file at
the provided location.
Metadata handler for standalone PKG-INFO files



This provider rejects all data and metadata requests except for PKG-INFO,
which is treated as existing, and will be the contents of the file at
the provided location.",,,,,,,,,,,,,,
E2,E1 (agree),,,MethodDispatcher,"
Dict with 2 special properties:

On initiation, keys that are lists, sets or tuples are converted to
multiple keys so accessing any one of the items in the original
list-like object returns the matching value

md = MethodDispatcher({(""foo"", ""bar""):""baz""})
md[""foo""] == ""baz""

A default value which can be set through the default attribute.",10,"Dict with 2 special properties:

","
A default value which can be set through the default attribute.",,"On initiation, keys that are lists, sets or tuples are converted to
multiple keys so accessing any one of the items in the original
list-like object returns the matching value


md = MethodDispatcher({(""foo"", ""bar""):""baz""}) md[""foo""] == ""baz""
A default value which can be set through the default attribute.",,,,,,,,,,,,,,
E2,,E3 (disagree),,PoolManager,"
Allows for arbitrary requests while transparently keeping track of
necessary connection pools for you.

:param num_pools:
    Number of connection pools to cache before discarding the least
    recently used pool.

:param headers:
    Headers to include with all requests, unless other headers are given
    explicitly.

:param \**connection_pool_kw:
    Additional parameters are used to create fresh
    :class:`urllib3.connectionpool.ConnectionPool` instances.

Example::

    >>> manager = PoolManager(num_pools=2)
    >>> r = manager.request('GET', 'http://google.com/')
    >>> r = manager.request('GET', 'http://google.com/mail')
    >>> r = manager.request('GET', 'http://yahoo.com/')
    >>> len(manager.pools)
    ",23,"Allows for arbitrary requests while transparently keeping track of
necessary connection pools for you.
","
Example::

    >>> manager = PoolManager(num_pools=2)
    >>> r = manager.request('GET', 'http://google.com/')
    >>> r = manager.request('GET', 'http://google.com/mail')
    >>> r = manager.request('GET', 'http://yahoo.com/')
    >>> len(manager.pools)","
:param num_pools:
    Number of connection pools to cache before discarding the least
    recently used pool.

:param headers:
    Headers to include with all requests, unless other headers are given
    explicitly.

:param \**connection_pool_kw:
    Additional parameters are used to create fresh
    :class:`urllib3.connectionpool.ConnectionPool` instances.
",,,,,,,,,,,,,,,
E4,E2 (agree),,,HebrewProber,"
The prober is divided between two SBCharSetProbers and a HebrewProber,
all of which are managed, created, fed data, inquired and deleted by the
SBCSGroupProber. The two SBCharSetProbers identify that the text is in
fact some kind of Hebrew, Logical or Visual. The final decision about which
one is it is made by the HebrewProber by combining final-letter scores
with the scores of the two SBCharSetProbers to produce a final answer.
The SBCSGroupProber is responsible for stripping the original text of HTML
tags, English characters, numbers, low-ASCII punctuation characters, spaces
and new lines. It reduces any sequence of such characters to a single space.
The buffer fed to each prober in the SBCS group prober is pure text in
high-ASCII.
The two SBCharSetProbers (model probers) share the same language model:
Win1255Model.
The first SBCharSetProber uses the model normally as any other
SBCharSetProber does, to recognize windows-1255, upon which this model was
built. The second SBCharSetProber is told to make the pair-of-letter
lookup in the language model backwards. This in practice exactly simulates
a visual Hebrew model using the windows-1255 logical Hebrew model.
The HebrewProber is not using any language model. All it does is look for
final-letter evidence suggesting the text is either logical Hebrew or visual
Hebrew. Disjointed from the model probers, the results of the HebrewProber
alone are meaningless. HebrewProber always returns 0.00 as confidence
since it never identifies a charset by itself. Instead, the pointer to the
HebrewProber is passed to the model probers as a helper ""Name Prober"".
When the Group prober receives a positive identification from any prober,
it asks for the name of the charset identified. If the prober queried is a
Hebrew model prober, the model prober forwards the call to the
HebrewProber to make the final decision. In the HebrewProber, the
decision is made according to the final-letters scores maintained and Both
model probers scores. The answer is returned in the form of the name of the
charset identified, either ""windows-1255"" or ""ISO-8859-8""",31,It reduces any sequence of such characters to a single space.,"The final decision about which one is it is made by the HebrewProber by combining final-letter scores
with the scores of the two SBCharSetProbers to produce a final answer.

The first SBCharSetProber uses the model normally as any other SBCharSetProber does, to recognize windows-1255, upon which this model was
built. The second SBCharSetProber is told to make the pair-of-letter lookup in the language model backwards.

All it does is look for final-letter evidence suggesting the text is either logical Hebrew or visual Hebrew.

HebrewProber always returns 0.00 as confidence since it never identifies a charset by itself. Instead, the pointer to the HebrewProber is passed to the model probers as a helper ""Name Prober"".

When the Group prober receives a positive identification from any prober, it asks for the name of the charset identified. If the prober queried is a Hebrew model prober, the model prober forwards the call to the HebrewProber to make the final decision.

In the HebrewProber, the decision is made according to the final-letters scores maintained and Both model probers scores. The answer is returned in the form of the name of the charset identified, either ""windows-1255"" or ""ISO-8859-8""",,,,"The prober is divided between two SBCharSetProbers and a HebrewProber, all of which are managed, created, fed data, inquired and deleted by the SBCSGroupProber.

The two SBCharSetProbers identify that the text is in
fact some kind of Hebrew, Logical or Visual.

The SBCSGroupProber is responsible for stripping the original text of HTML tags, English characters, numbers, low-ASCII punctuation characters, spaces and new lines.

The buffer fed to each prober in the SBCS group prober is pure text in high-ASCII.
The two SBCharSetProbers (model probers) share the same language model: Win1255Model.

This in practice exactly simulates a visual Hebrew model using the windows-1255 logical Hebrew model. The HebrewProber is not using any language model.

Disjointed from the model probers, the results of the HebrewProber
alone are meaningless.",,,,,,,,,,,,
